id,year,set,duration,cluster,title
1656,1992,1,877375,0,Divided Sky
1895,1992,1,401398,0,Rift
30223,2015,1,398002,0,A Song I Heard the Ocean Sing
5822,1993,1,290873,0,Sample in a Jar
5824,1993,1,401816,0,Punch You In the Eye
5825,1993,1,461871,0,Runaway Jim
1639,1992,1,405682,0,Chalk Dust Torture
1676,1992,2,479896,0,Runaway Jim
1703,1992,1,320261,0,Llama
1712,1992,1,440869,0,Foam
1713,1992,1,242547,0,Sparkle
1715,1992,1,488307,0,Maze
1734,1992,1,349962,0,Chalk Dust Torture
5594,1993,1,551079,0,Split Open and Melt
1001,1992,1,249809,0,Sparkle
1806,1992,2,250122,0,Glide
1809,1992,2,233430,0,I Am Hydrogen
1816,1992,1,232359,0,Sparkle
1819,1992,1,449306,0,Runaway Jim
1821,1992,1,434232,0,Foam
1825,1992,1,199176,0,Tweezer Reprise
1856,1992,1,238864,0,Sparkle
1871,1992,1,480183,0,Foam
1881,1992,1,450560,0,Maze
1882,1992,1,412526,0,Runaway Jim
7230,1993,2,640392,0,Run Like an Antelope
1049,1992,E,179931,0,Tweezer Reprise
1917,1992,1,391941,0,Chalk Dust Torture
1936,1992,1,216869,0,Bouncing Around the Room
1947,1992,1,556278,0,Maze
1948,1992,1,218018,0,Bouncing Around the Room
1967,1992,2,581460,0,Mike's Song
1970,1992,2,230922,0,Bouncing Around the Room
1986,1992,1,234919,0,Sparkle
1990,1992,2,363468,0,Chalk Dust Torture
2002,1992,1,299076,0,Glide
2055,1992,1,503144,0,Foam
2061,1992,1,351269,0,Mound
2062,1992,1,311432,0,Bouncing Around the Room
2067,1992,2,171285,0,Poor Heart
2068,1992,2,572395,0,Stash
2071,1992,2,297561,0,Llama
2075,1992,2,173035,0,Weekapaug Groove
2076,1992,2,131187,0,Big Ball Jam
2081,1992,2,405238,0,Cavern
2083,1992,E,201691,0,Rocky Top
2094,1992,2,394606,0,Chalk Dust Torture
2173,1992,2,272379,0,Glide
2212,1992,1,402103,0,Chalk Dust Torture
1014,1992,2,374361,0,Weekapaug Groove
2303,1992,1,302002,0,Golgi Apparatus
2308,1992,1,501159,0,Split Open and Melt
2338,1992,2,485851,0,Mike's Song
2340,1992,2,383164,0,Weekapaug Groove
2342,1992,2,212637,0,Axilla
2343,1992,2,220134,0,Bouncing Around the Room
2349,1992,E,357355,0,Good Times Bad Times
2352,1992,1,220186,0,Bouncing Around the Room
2365,1992,2,235912,0,Sparkle
2406,1992,1,378671,0,Rift
2411,1992,2,358478,0,Mound
2413,1992,2,292101,0,Llama
2415,1992,2,474096,0,Chalk Dust Torture
2420,1992,2,193802,0,Big Ball Jam
2423,1992,2,376059,0,Cavern
2425,1992,E,193776,0,Rocky Top
2447,1992,E,278335,0,Fire
2450,1992,1,233352,0,Sparkle
2457,1992,1,213316,0,Bouncing Around the Room
2502,1992,1,235860,0,Sparkle
2522,1992,2,342518,0,Llama
2526,1992,1,564689,0,Maze
2553,1994,1,811964,0,Divided Sky
2576,1994,1,530599,0,Foam
2578,1994,1,293982,0,Glide
2579,1994,1,427651,0,Julius
2581,1994,1,377313,0,Rift
2582,1994,1,472346,0,AC/DC Bag
2586,1994,2,476108,0,If I Could
2589,1994,2,475585,0,Chalk Dust Torture
878,1992,2,656823,0,Tweezer
2543,1992,2,336849,0,Good Times Bad Times
2544,1992,3,396487,0,Mike's Song
2545,1992,3,58645,0,Auld Lang Syne
2546,1992,3,654602,0,Weekapaug Groove
2550,1992,3,466207,0,Llama
2552,1992,E,276611,0,Fire
2554,1994,1,299781,0,Sample in a Jar
2556,1994,1,571768,0,Maze
2591,1994,E,187533,0,Nellie Kane
2592,1994,E,317466,0,Golgi Apparatus
2593,1994,1,273371,0,Llama
2646,1994,2,300095,0,Sample in a Jar
2656,1994,2,362371,0,Cavern
2658,1994,E,211200,0,Highway to Hell
2701,1994,1,230191,0,Sparkle
2702,1994,1,458919,0,Down with Disease
2704,1994,1,362292,0,Rift
2706,1994,1,602070,0,Split Open and Melt
2717,1994,E,187873,0,Rocky Top
2721,1994,1,824398,0,Harry Hood
2722,1994,1,287687,0,Wilson
2726,1994,1,441835,0,Down with Disease
2728,1994,2,423236,0,If I Could
2732,1994,2,431909,0,Julius
2733,1994,2,307853,0,Wolfman's Brother
31118,2016,E,114416,0,Hold Your Head Up
3923,1994,2,107781,0,Mike's Song
2719,1994,1,345731,0,Guelah Papyrus
2720,1994,1,169927,0,Paul and Silas
2727,1994,2,686942,0,Maze
2737,1994,2,403696,0,Cavern
2753,1994,2,223164,0,Bouncing Around the Room
2756,1994,2,353071,0,Tweezer Reprise
2761,1994,1,781453,0,Divided Sky
2766,1994,1,264542,0,Cavern
2775,1994,2,447843,0,Golgi Apparatus
2776,1994,E,171651,0,Cracklin' Rosie
2780,1994,1,264490,0,Glide
2781,1994,1,143229,0,Poor Heart
2791,1994,2,221179,0,Sparkle
2793,1994,2,137221,0,Big Ball Jam
2799,1994,2,432875,0,Down with Disease
2801,1994,2,268278,0,Cavern
2802,1994,E,321437,0,Good Times Bad Times
2846,1994,1,294609,0,Sample in a Jar
2849,1994,1,806322,0,Divided Sky
2852,1994,2,342282,0,Suzy Greenberg
2853,1994,2,452336,0,Julius
2857,1994,2,421512,0,Runaway Jim
2860,1994,E,251951,0,Piano Duet
2862,1994,1,284839,0,Funky Bitch
2863,1994,1,362449,0,Rift
2875,1994,2,298553,0,Sample in a Jar
2876,1994,2,237923,0,Sparkle
2925,1994,1,229355,0,Bouncing Around the Room
2946,1994,1,431177,0,Scent of a Mule
2947,1994,1,220369,0,The Sloth
2954,1994,1,276872,0,Llama
2955,1994,2,348003,0,Suzy Greenberg
2956,1994,2,645329,0,Maze
2957,1994,2,360856,0,If I Could
2965,1994,2,270602,0,Cavern
2966,1994,E,290978,0,Fire
2970,1994,1,149917,0,Poor Heart
2973,1994,1,439641,0,Rift
5932,1993,E,375458,0,Chalk Dust Torture
5941,1993,1,412996,0,Chalk Dust Torture
2987,1994,E,226403,0,Highway to Hell
3005,1993,3,234971,0,Sparkle
3012,1994,1,583053,0,Maze
3013,1994,1,279353,0,Glide
3018,1994,1,467096,0,Down with Disease
3022,1994,2,768705,0,Split Open and Melt
30232,2015,1,502805,0,It's Ice
3025,1994,2,248581,0,Sparkle
3027,1994,2,228702,0,Bouncing Around the Room
3028,1994,2,150857,0,Big Ball Jam
3036,1996,1,441835,0,Funky Bitch
3043,1996,2,355291,0,Chalk Dust Torture
3044,1996,2,235651,0,Sparkle
3050,1996,2,359393,0,Sample in a Jar
3157,1994,2,635429,0,The Lizards
3158,1994,2,441469,0,Julius
3161,1994,E,304718,0,Cavern
18559,1998,1,363938,0,I Shall Be Released
3149,1994,1,782341,0,Divided Sky
3178,1994,2,75703,0,Hold Your Head Up
3181,1994,E,275096,0,Fire
3202,1994,1,448078,0,Runaway Jim
3241,1994,1,358269,0,Rift
3242,1994,1,394606,0,Down with Disease
3244,1994,1,666671,0,Maze
3246,1994,1,631954,0,Foam
3249,1994,1,299285,0,Sample in a Jar
3251,1994,2,656536,0,Run Like an Antelope
3254,1994,2,233691,0,Uncle Pen
3259,1994,2,360934,0,Contact
3438,1994,2,827977,0,Possum
3619,1994,2,260963,0,Cavern
5962,1993,1,220578,0,Bouncing Around the Room
15417,1996,2,305894,0,The Wedge
3228,1994,1,331259,0,If I Could
3230,1994,2,650136,0,Maze
3262,1994,E,155794,0,Rocky Top
3288,1994,1,209241,0,My Sweet One
3303,1994,1,156839,0,Buried Alive
3304,1994,1,133042,0,Poor Heart
3305,1994,1,299833,0,Sample in a Jar
3306,1994,1,847569,0,Divided Sky
3309,1994,1,435670,0,Down with Disease
3315,1994,2,214674,0,Sparkle
3316,1994,2,556251,0,It's Ice
3317,1994,2,384784,0,Julius
3323,1994,E,170580,0,Rocky Top
3325,1994,1,699794,0,Maze
3326,1994,1,361587,0,Mound
3327,1994,1,370860,0,If I Could
3328,1994,1,530756,0,Scent of a Mule
3331,1994,1,622994,0,Split Open and Melt
3333,1994,2,513358,0,Runaway Jim
3334,1994,2,325355,0,Glide
3337,1994,2,240248,0,Uncle Pen
3338,1994,2,150648,0,Big Ball Jam
3341,1994,2,528300,0,Slave to the Traffic Light
3363,1994,E,285884,0,Fire
3372,1994,1,91455,0,Carolina
