id,Song,Year,Set,Duration,Cluster
6454,Mike's Song,1993-04-18,2,494315,0
30751,Time Turns Elastic,2009-11-25,2,957832,0
348,Bundle of Joy,1987-08-29,2,152007,0
435,Whipping Post,1987-10-31,1,734563,0
437,Back Porch Boogie Blues,1987-10-31,1,259944,0
441,AC/DC Bag,1987-10-31,1,451657,0
446,Avenu Malkenu,1987-10-31,2,208797,0
436,Sneakin' Sally Through the Alley,1987-10-31,1,390949,0
438,Halley's Comet,1987-10-31,1,415687,0
450,Timber (Jerry),1987-10-31,2,502387,0
459,Alumni Blues,1987-10-31,2,272300,0
485,You Enjoy Myself,1987-11-19,1,799112,0
490,Fluffhead,1987-11-19,2,983615,0
521,Cavern,1992-03-06,1,266109,0
525,Divided Sky,1992-03-06,1,759928,0
535,Mound,1992-03-06,2,354011,0
496,Suzy Greenberg,1987-11-19,3,330162,0
497,Possum,1987-11-19,3,317884,0
498,Divided Sky,1987-11-19,3,256392,0
503,Harpua,1987-11-19,3,412056,0
504,Take the 'A' Train,1987-11-19,3,333479,0
505,Camel Walk,1987-11-19,3,292989,0
512,My Mind's Got a Mind of its Own,1992-01-14,1,135053,0
500,Dinner and a Movie,1987-11-19,3,465607,0
530,David Bowie,1992-03-06,1,903314,0
564,Suzy Greenberg,1992-03-11,1,342779,0
567,Reba,1992-03-11,1,736313,0
569,Fee,1992-03-11,1,327158,0
592,Foam,1992-03-12,1,460904,0
30753,Oh! Sweet Nuthin',2009-11-25,E,464692,0
499,Big Black Furry Creature from Mars,1987-11-19,3,197251,0
549,Rift,1992-03-07,1,478851,0
573,Cavern,1992-03-11,1,295027,0
574,Llama,1992-03-11,2,274390,0
586,Rocky Top,1992-03-11,2,157231,0
587,Sanity,1992-03-11,E,316238,0
543,Foam,1992-03-07,1,525061,0
545,The Horse > Silent in the Morning,1992-03-07,1,394031,0
547,The Mango Song,1992-03-07,1,411690,0
536,Llama,1992-03-06,2,276558,0
12024,AC/DC Bag,1995-07-03,2,605910,0
17082,AC/DC Bag,1997-06-25,1,622367,0
685,Split Open and Melt,1992-03-19,1,489718,0
687,Golgi Apparatus,1992-03-19,1,262034,0
695,Glide,1992-03-19,2,227788,0
698,My Sweet One,1992-03-19,2,128444,0
699,Stash,1992-03-19,2,509100,0
704,You Enjoy Myself,1992-03-19,2,1230158,0
696,Chalk Dust Torture,1992-03-19,2,373891,0
692,Fly Famous Mockingbird,1992-03-19,1,386064,0
757,Sparkle,1992-03-22,1,233874,0
21985,AC/DC Bag,2004-08-10,1,982361,0
30746,Birds of a Feather,2009-11-25,2,771579,0
841,Reba,1992-03-27,1,683781,0
854,Silent in the Morning,1992-03-27,2,314619,0
867,Foam,1992-03-30,1,466207,0
908,Reba,1992-03-31,1,682423,0
910,Llama,1992-03-31,1,291736,0
18968,Theme From the Bottom,1998-11-29,1,678740,0
879,Mound,1992-03-30,2,364095,0
907,Rift,1992-03-31,1,496144,0
943,Uncle Pen,1992-04-01,2,240457,0
24332,Free Man in Paris,2010-06-25,1,255321,0
6875,Silent in the Morning,1993-05-30,1,277629,0
960,The Mango Song > Llama,1992-04-03,2,662047,0
1280,Paul and Silas,1992-04-25,1,181525,0
1158,"My Friend, My Friend",1992-04-19,1,409051,0
1159,Reba,1992-04-19,1,702903,0
1164,Golgi Apparatus,1992-04-19,1,284369,0
28729,Big Ball Jam,1994-04-13,2,118309,0
31892,You Enjoy Myself,1987-05-11,1,824921,0
29735,Halley's Comet,2014-08-30,1,420911,0
29738,Rift,2014-08-30,1,336666,0
1168,Weekapaug Groove,1992-04-19,2,596820,0
1210,Mound,1992-04-22,1,358922,0
1212,Suzy Greenberg,1992-04-22,1,257306,0
1177,Runaway Jim,1992-04-19,2,513750,0
12594,Run Like an Antelope,1995-06-23,2,858984,0
1286,Rift,1992-04-25,1,477153,0
1301,Suzy Greenberg,1992-04-29,1,323370,0
1251,Runaway Jim,1992-04-24,1,431438,0
1255,Uncle Pen,1992-04-24,1,248059,0
1256,The Sloth,1992-04-24,1,221962,0
1258,Fluffhead,1992-04-24,1,913424,0
1259,Sparkle,1992-04-24,1,246230,0
1264,Cavern,1992-04-24,2,263393,0
1265,Ya Mar,1992-04-24,2,379037,0
1266,Foam,1992-04-24,2,499722,0
1270,The Mango Song,1992-04-24,2,442070,0
1274,Glide,1992-04-24,2,240379,0
1275,Llama,1992-04-24,2,445257,0
1327,Fee,1992-04-30,1,296594,0
1328,Maze,1992-04-30,1,477858,0
1332,Rift,1992-04-30,1,463961,0
19808,Prince Caspian,1999-09-25,2,645016,0
5582,You Enjoy Myself,1993-02-25,2,1269760,0
1478,Rift,1992-05-07,1,483344,0
31099,Uncle Pen,2016-07-16,1,311458,0
31100,555,2016-07-16,1,389538,0
7303,All Things Reconsidered,1993-08-15,1,167053,0
31896,Sneakin' Sally Through the Alley,1987-05-11,1,351504,0
5826,Halley's Comet,1993-03-14,2,291265,0
5837,Buried Alive,1993-03-16,1,132310,0
7039,The Man Who Stepped Into Yesterday > Avenu Malkenu,1993-07-22,2,381962,0
1476,Esther,1992-05-07,1,545593,0
31678,Funky Bitch,2016-12-28,1,395976,0
1526,Rift,1992-05-09,1,481541,0
1527,Fee,1992-05-09,1,322325,0
31102,It's Ice,2016-07-16,1,552150,0
1482,Sparkle,1992-05-07,2,237636,0
1484,Fluffhead,1992-05-07,2,836780,0
1485,Glide,1992-05-07,2,241554,0
1489,Fee,1992-05-07,2,324519,0
1556,All Things Reconsidered,1992-05-12,1,184947,0
1653,Suzy Greenberg,1992-05-18,1,317936,0
1654,Maze,1992-05-18,1,557349,0
1655,Bouncing Around the Room,1992-05-18,1,220787,0
1656,Divided Sky,1992-05-18,1,877375,0
2683,Julius,1994-04-11,1,446824,0
1548,Uncle Pen,1992-05-10,1,244454,0
1658,Foam,1992-05-18,1,539899,0
1659,Poor Heart,1992-05-18,1,169091,0
1661,Sparkle,1992-05-18,1,240091,0
31899,Avenu Malkenu,1987-05-11,1,182282,0
1666,Avenu Malkenu,1992-05-18,2,197695,0
1698,Uncle Pen,1992-06-23,1,242599,0
1671,Fee,1992-05-18,2,362240,0
1672,Rift,1992-05-18,2,474880,0
1676,Runaway Jim,1992-05-18,2,479896,0
1770,Uncle Pen,1992-07-15,1,247719,0
1772,The Horse,1992-07-15,1,74371,0
31679,Halfway to the Moon,2016-12-28,1,606864,0
4952,Fly Famous Mockingbird,1994-11-30,1,368379,0
1742,The Landlady,1992-07-14,1,226586,0
1743,Rift,1992-07-14,1,448287,0
1746,Sparkle,1992-07-14,1,239778,0
1750,Brother,1992-07-14,1,313809,0
1755,Fee,1992-07-14,2,317884,0
1726,Sparkle,1992-07-10,1,246857,0
1728,Golgi Apparatus,1992-07-10,1,277290,0
1732,My Sweet One,1992-07-10,E,164284,0
15481,Reba,1996-11-18,1,862302,0
1748,Runaway Jim,1992-07-14,1,448209,0
1046,My Mind's Got a Mind of its Own,1992-04-07,2,142602,0
1812,The Squirming Coil,1992-07-16,E,569287,0
1047,Golgi Apparatus,1992-04-07,2,272196,0
1849,Runaway Jim,1992-07-09,1,476212,0
2684,Glide,1994-04-11,1,252656,0
31108,Blaze On,2016-07-16,2,624170,0
1875,The Squirming Coil,1992-08-14,1,448000,0
1866,Stash,1992-08-01,1,538096,0
1868,Horn,1992-08-01,1,217757,0
1932,Runaway Jim,1992-08-28,1,526184,0
2001,Foam,1992-11-21,1,507220,0
2005,Bouncing Around the Room,1992-11-21,1,229460,0
2009,Possum,1992-11-21,1,654106,0
2017,Uncle Pen,1992-11-21,2,240614,0
31682,Cavern,2016-12-28,1,352176,0
2089,Sparkle,1992-11-25,1,242181,0
2004,It's Ice,1992-11-21,1,476317,0
2075,Weekapaug Groove,1992-11-23,2,173035,0
2076,Big Ball Jam,1992-11-23,2,131187,0
2694,You Enjoy Myself,1994-04-11,2,1425110,0
2110,Fly Famous Mockingbird,1992-11-27,1,391784,0
29742,Sparkle,2014-08-30,1,259944,0
2102,My Sweet One,1992-11-25,2,164153,0
2120,Possum,1992-11-27,2,638772,0
2121,Glide,1992-11-27,2,280477,0
2104,Harry Hood,1992-11-25,E,898952,0
2169,Buried Alive,1992-11-30,2,142629,0
2170,Runaway Jim,1992-11-30,2,569130,0
2180,Cavern,1992-11-30,2,282514,0
2182,Fire,1992-11-30,E,283768,0
2280,Uncle Pen,1992-12-08,1,259840,0
19934,Funky Bitch,1999-10-03,E,560509,0
2266,Paul and Silas > Big Ball Jam,1992-12-06,2,280660,0
2600,Fee,1994-04-06,1,353332,0
2314,Rift,1992-12-10,2,450873,0
2315,Tweezer,1992-12-10,2,690024,0
2316,Tela,1992-12-10,2,404611,0
2317,My Sweet One,1992-12-10,2,174106,0
2320,Glide,1992-12-10,2,248372,0
2323,I Walk the Line,1992-12-10,2,176353,0
2325,Suzy Greenberg,1992-12-10,2,385437,0
2328,Uncle Pen,1992-12-11,1,262478,0
2331,Chalk Dust Torture,1992-12-11,1,408451,0
2333,Sparkle,1992-12-11,1,236330,0
1011,Paul and Silas,1992-04-06,2,163056,0
2294,Sparkle,1992-12-08,2,235651,0
2302,Fire,1992-12-08,E,282514,0
2321,You Enjoy Myself,1992-12-10,2,1149100,0
2343,Bouncing Around the Room,1992-12-11,2,220134,0
2735,I Wanna Be Like You,1994-04-15,2,378723,0
31685,Simple,2016-12-28,2,498336,0
2426,Maze,1992-12-28,1,531566,0
2427,Sparkle,1992-12-28,1,237949,0
2430,Glide,1992-12-28,1,292937,0
2433,Rift,1992-12-28,1,380003,0
2434,Golgi Apparatus,1992-12-28,1,313443,0
31686,Chalk Dust Torture,2016-12-28,2,418584,0
2429,Buried Alive,1992-12-28,1,145659,0
2436,Run Like an Antelope,1992-12-28,1,651729,0
2437,Poor Heart,1992-12-28,2,169613,0
2438,Split Open and Melt,1992-12-28,2,526367,0
2439,Reba,1992-12-28,2,722808,0
2166,Reba,1992-11-30,1,709642,0
2445,Cavern,1992-12-28,2,273711,0
2447,Fire,1992-12-28,E,278335,0
31688,Wingsuit,2016-12-28,2,592056,0
1017,Mound,1992-04-06,2,381179,0
2472,Runaway Jim,1992-12-29,1,575242,0
2577,Fluffhead,1994-04-05,1,877035,0
2581,Rift,1994-04-05,1,377313,0
2602,The Curtain,1994-04-06,2,428826,0
2553,Divided Sky,1994-04-04,1,811964,0
2556,Maze,1994-04-04,1,571768,0
2561,Possum,1994-04-04,1,617169,0
2595,Poor Heart,1994-04-06,1,150282,0
5895,Fly Famous Mockingbird,1993-03-18,1,378018,0
2596,Stash,1994-04-06,1,788140,0
2663,Esther,1994-04-10,1,558472,0
5907,Big Ball Jam > Hold Your Head Up,1993-03-18,2,284029,0
2539,Fly Famous Mockingbird,1992-12-31,2,392699,0
2605,Sparkle,1994-04-06,2,228989,0
2609,The Squirming Coil,1994-04-06,2,528483,0
2591,Nellie Kane,1994-04-05,E,187533,0
2721,Harry Hood,1994-04-15,1,824398,0
2728,If I Could,1994-04-15,2,423236,0
30410,Simple,2015-08-21,1,615367,0
16273,Harry Hood,1996-11-16,2,954122,0
2669,Ya Mar,1994-04-10,2,563383,0
2679,Poor Heart,1994-04-11,1,138397,0
2691,Uncle Pen,1994-04-11,2,244480,0
2693,Big Ball Jam,1994-04-11,2,146991,0
2704,Rift,1994-04-14,1,362292,0
2706,Split Open and Melt,1994-04-14,1,602070,0
2707,The Squirming Coil,1994-04-14,1,626834,0
2711,Silent in the Morning,1994-04-14,2,308114,0
2712,Scent of a Mule,1994-04-14,2,416392,0
2607,Lifeboy,1994-04-06,2,475115,0
2687,Also Sprach Zarathustra,1994-04-11,2,270237,0
2698,Possum,1994-04-11,E,662622,0
2720,Paul and Silas,1994-04-15,1,169927,0
5911,Good Times Bad Times,1993-03-18,E,332669,0
2743,Rift,1994-04-16,1,355448,0
2761,Divided Sky,1994-04-17,1,781453,0
2762,Mound,1994-04-17,1,346305,0
2769,Uncle Pen,1994-04-17,2,238367,0
29744,David Bowie,2014-08-30,1,621192,0
2690,Fly Famous Mockingbird,1994-04-11,2,373917,0
2764,If I Could,1994-04-17,1,408921,0
31912,The Wedge,2017-07-15,1,491912,0
2822,Sparkle,1994-04-21,1,224914,0
2844,Uncle Pen,1994-04-22,1,244140,0
2847,All Things Reconsidered,1994-04-22,1,190250,0
2848,Nellie Kane,1994-04-22,1,175543,0
2807,Rift,1994-04-20,1,363024,0
2863,Rift,1994-04-23,1,362449,0
2864,Fee,1994-04-23,1,339174,0
2866,Poor Heart,1994-04-23,1,173662,0
2874,Mound,1994-04-23,2,345130,0
11070,Mike's Song,1989-03-30,2,293616,0
2868,Esther,1994-04-23,1,552046,0
2877,Harry Hood,1994-04-23,2,847386,0
2945,Fast Enough for You,1994-04-29,1,389486,0
2946,Scent of a Mule,1994-04-29,1,431177,0
2867,Stash,1994-04-23,1,722782,0
2960,Uncle Pen,1994-04-29,2,241789,0
2963,Weekapaug Groove,1994-04-29,2,397949,0
2958,Reba,1994-04-29,2,818364,0
5941,Chalk Dust Torture,1993-03-02,1,412996,0
11146,Foam,1989-04-20,1,481672,0
3014,Foam,1994-04-08,1,575138,0
3022,Split Open and Melt,1994-04-08,2,768705,0
3027,Bouncing Around the Room,1994-04-08,2,228702,0
3028,Big Ball Jam,1994-04-08,2,150857,0
3029,David Bowie,1994-04-08,2,675788,0
3091,Runaway Jim,2000-07-03,2,1973682,0
3084,My Mind's Got a Mind of its Own,2000-07-03,1,164624,0
3086,Bathtub Gin,2000-07-03,1,917943,0
3094,Sand,2000-07-03,2,803997,0
3155,Reba,1994-05-02,2,699716,0
5208,Harry Hood,1993-03-21,2,802194,0
3109,Rocky Top,2012-06-07,1,194769,0
2673,I Wanna Be Like You,1994-04-10,2,495438,0
3164,Maze,1994-05-03,1,608522,0
3165,Sparkle,1994-05-03,1,223269,0
3168,Scent of a Mule,1994-05-03,1,386900,0
3169,Sample in a Jar,1994-05-03,1,301845,0
3171,David Bowie,1994-05-03,2,748382,0
3173,Fluffhead,1994-05-03,2,816091,0
3180,Nellie Kane,1994-05-03,E,177737,0
3175,Harpua,1994-05-03,2,892656,0
5962,Bouncing Around the Room,1993-03-22,1,220578,0
31919,More,2017-07-15,1,403618,0
31920,Corona,2017-07-15,2,374700,0
3389,Tela,1994-05-21,1,408059,0
3386,Mound,1994-05-21,1,348918,0
3387,Stash,1994-05-21,1,743367,0
3393,David Bowie,1994-05-21,2,749375,0
3396,Julius,1994-05-21,2,405002,0
3400,Bold As Love,1994-05-21,E,318563,0
3416,Tweezer,1994-05-22,2,833829,0
29998,Rockin Back Inside My Heart Jam,1994-04-10,2,46054,0
3418,Rift,1994-05-22,2,238524,0
3511,Silent in the Morning,1994-05-28,1,297848,0
31135,My Sweet One,2016-07-18,2,136176,0
3574,The Lizards,1994-06-10,1,711236,0
5995,Maze,1993-03-24,1,564193,0
3548,Llama,1994-06-09,1,240666,0
3550,Rift,1994-06-09,1,356493,0
3551,Down with Disease,1994-06-09,1,438857,0
3553,If I Could,1994-06-09,1,336379,0
3569,Foam,1994-06-10,1,551602,0
3571,Nellie Kane,1994-06-10,1,179435,0
3572,Demand,1994-06-10,1,108617,0
3576,Julius,1994-06-10,1,394710,0
3578,The Curtain,1994-06-10,2,370573,0
3579,Tweezer,1994-06-10,2,933094,0
3580,Lifeboy,1994-06-10,2,460748,0
3581,Sparkle,1994-06-10,2,225907,0
3634,Rift,1994-06-14,1,360751,0
3638,Uncle Pen,1994-06-14,1,239256,0
7374,Rift,1993-08-20,1,355030,0
963,Runaway Jim,1992-04-04,1,415347,0
3587,Rocky Top,1994-06-10,E,183667,0
3607,Poor Heart,1994-06-13,1,134844,0
3622,Scent of a Mule,1994-06-13,2,403696,0
3623,Big Ball Jam,1994-06-13,2,178678,0
964,Foam,1992-04-04,1,478720,0
965,Reba,1992-04-04,1,682005,0
3706,It's Ice,1994-06-21,1,514534,0
966,Uncle Pen,1992-04-04,1,250567,0
3760,Silent in the Morning,1994-06-23,1,333322,0
3830,Divided Sky,1994-06-26,1,785894,0
3695,Kung,1994-06-17,2,19435,0
3713,Esther,1994-06-21,2,519131,0
3722,Harry Hood,1994-06-21,2,790570,0
3828,The Sloth,1994-06-26,1,227709,0
6008,Fast Enough for You,1993-03-24,2,307775,0
968,Bouncing Around the Room,1992-04-04,1,223869,0
4113,Rift,1994-07-15,1,374700,0
3769,Lifeboy,1994-06-23,2,492617,0
3771,Sparkle,1994-06-23,E,229538,0
3784,Demand,1994-06-24,2,113580,0
3786,Halley's Comet,1994-06-24,2,306991,0
3825,AC/DC Bag,1994-06-26,1,353724,0
6015,The Squirming Coil,1993-03-24,E,622550,0
969,It's Ice,1992-04-04,1,357930,0
3775,It's Ice,1994-06-24,1,494942,0
3869,Rift,1994-06-30,1,358818,0
3879,Sparkle,1994-06-30,2,231419,0
3838,Scent of a Mule,1994-06-26,2,405342,0
3846,The Curtain,1994-06-29,1,422609,0
3851,The Horse,1994-06-29,1,79282,0
3852,Silent in the Morning,1994-06-29,1,297979,0
3854,David Bowie,1994-06-29,1,852741,0
3858,Poor Heart,1994-06-29,2,130560,0
