id,year,set,duration,cluster
2552,1992,E,276611,0
2554,1994,1,299781,0
2556,1994,1,571768,0
2591,1994,E,187533,0
2592,1994,E,317466,0
2593,1994,1,273371,0
2646,1994,2,300095,0
2656,1994,2,362371,0
2658,1994,E,211200,0
2701,1994,1,230191,0
2702,1994,1,458919,0
2704,1994,1,362292,0
2706,1994,1,602070,0
2717,1994,E,187873,0
2721,1994,1,824398,0
2722,1994,1,287687,0
2726,1994,1,441835,0
2728,1994,2,423236,0
2732,1994,2,431909,0
2733,1994,2,307853,0
31118,2016,E,114416,0
3923,1994,2,107781,0
2719,1994,1,345731,0
2720,1994,1,169927,0
2727,1994,2,686942,0
2737,1994,2,403696,0
2753,1994,2,223164,0
2756,1994,2,353071,0
2761,1994,1,781453,0
2766,1994,1,264542,0
2775,1994,2,447843,0
2776,1994,E,171651,0
2780,1994,1,264490,0
2781,1994,1,143229,0
2791,1994,2,221179,0
2793,1994,2,137221,0
2799,1994,2,432875,0
2801,1994,2,268278,0
2802,1994,E,321437,0
2846,1994,1,294609,0
2849,1994,1,806322,0
2852,1994,2,342282,0
2853,1994,2,452336,0
2857,1994,2,421512,0
2860,1994,E,251951,0
2862,1994,1,284839,0
2863,1994,1,362449,0
2875,1994,2,298553,0
2876,1994,2,237923,0
2925,1994,1,229355,0
2946,1994,1,431177,0
2947,1994,1,220369,0
2954,1994,1,276872,0
2955,1994,2,348003,0
2956,1994,2,645329,0
2957,1994,2,360856,0
2965,1994,2,270602,0
2966,1994,E,290978,0
2970,1994,1,149917,0
2973,1994,1,439641,0
5932,1993,E,375458,0
5941,1993,1,412996,0
2987,1994,E,226403,0
3005,1993,3,234971,0
3012,1994,1,583053,0
3013,1994,1,279353,0
3018,1994,1,467096,0
3022,1994,2,768705,0
30232,2015,1,502805,0
3025,1994,2,248581,0
3027,1994,2,228702,0
3028,1994,2,150857,0
3036,1996,1,441835,0
3043,1996,2,355291,0
3044,1996,2,235651,0
3050,1996,2,359393,0
3157,1994,2,635429,0
3158,1994,2,441469,0
3161,1994,E,304718,0
18559,1998,1,363938,0
3149,1994,1,782341,0
3178,1994,2,75703,0
3181,1994,E,275096,0
3202,1994,1,448078,0
3241,1994,1,358269,0
3242,1994,1,394606,0
3244,1994,1,666671,0
3246,1994,1,631954,0
3249,1994,1,299285,0
3251,1994,2,656536,0
3254,1994,2,233691,0
3259,1994,2,360934,0
3438,1994,2,827977,0
3619,1994,2,260963,0
5962,1993,1,220578,0
15417,1996,2,305894,0
3228,1994,1,331259,0
3230,1994,2,650136,0
3262,1994,E,155794,0
3288,1994,1,209241,0
3303,1994,1,156839,0
3304,1994,1,133042,0
3305,1994,1,299833,0
3306,1994,1,847569,0
3309,1994,1,435670,0
3315,1994,2,214674,0
3316,1994,2,556251,0
3317,1994,2,384784,0
3323,1994,E,170580,0
3325,1994,1,699794,0
