id,year,set,duration,cluster,title
2071,1992,2,297561,0,Llama
2075,1992,2,173035,0,Weekapaug Groove
2081,1992,2,405238,0,Cavern
2083,1992,E,201691,0,Rocky Top
2094,1992,2,394606,0,Chalk Dust Torture
2212,1992,1,402103,0,Chalk Dust Torture
1014,1992,2,374361,0,Weekapaug Groove
2303,1992,1,302002,0,Golgi Apparatus
2308,1992,1,501159,0,Split Open and Melt
2338,1992,2,485851,0,Mike's Song
2340,1992,2,383164,0,Weekapaug Groove
2343,1992,2,220134,0,Bouncing Around the Room
2349,1992,E,357355,0,Good Times Bad Times
2352,1992,1,220186,0,Bouncing Around the Room
2365,1992,2,235912,0,Sparkle
2406,1992,1,378671,0,Rift
2413,1992,2,292101,0,Llama
2415,1992,2,474096,0,Chalk Dust Torture
2423,1992,2,376059,0,Cavern
2425,1992,E,193776,0,Rocky Top
2450,1992,1,233352,0,Sparkle
2457,1992,1,213316,0,Bouncing Around the Room
2502,1992,1,235860,0,Sparkle
2522,1992,2,342518,0,Llama
2526,1992,1,564689,0,Maze
2553,1994,1,811964,0,Divided Sky
2576,1994,1,530599,0,Foam
2579,1994,1,427651,0,Julius
2581,1994,1,377313,0,Rift
2582,1994,1,472346,0,AC/DC Bag
2589,1994,2,475585,0,Chalk Dust Torture
878,1992,2,656823,0,Tweezer
2543,1992,2,336849,0,Good Times Bad Times
2544,1992,3,396487,0,Mike's Song
2546,1992,3,654602,0,Weekapaug Groove
2550,1992,3,466207,0,Llama
2554,1994,1,299781,0,Sample in a Jar
2556,1994,1,571768,0,Maze
2592,1994,E,317466,0,Golgi Apparatus
2593,1994,1,273371,0,Llama
2646,1994,2,300095,0,Sample in a Jar
2656,1994,2,362371,0,Cavern
2701,1994,1,230191,0,Sparkle
2702,1994,1,458919,0,Down with Disease
2704,1994,1,362292,0,Rift
2706,1994,1,602070,0,Split Open and Melt
2717,1994,E,187873,0,Rocky Top
2721,1994,1,824398,0,Harry Hood
2722,1994,1,287687,0,Wilson
2726,1994,1,441835,0,Down with Disease
2732,1994,2,431909,0,Julius
2733,1994,2,307853,0,Wolfman's Brother
31118,2016,E,114416,0,Hold Your Head Up
3923,1994,2,107781,0,Mike's Song
2719,1994,1,345731,0,Guelah Papyrus
2727,1994,2,686942,0,Maze
2737,1994,2,403696,0,Cavern
2753,1994,2,223164,0,Bouncing Around the Room
2756,1994,2,353071,0,Tweezer Reprise
2761,1994,1,781453,0,Divided Sky
2766,1994,1,264542,0,Cavern
2775,1994,2,447843,0,Golgi Apparatus
2781,1994,1,143229,0,Poor Heart
2791,1994,2,221179,0,Sparkle
2799,1994,2,432875,0,Down with Disease
2801,1994,2,268278,0,Cavern
2802,1994,E,321437,0,Good Times Bad Times
2846,1994,1,294609,0,Sample in a Jar
2849,1994,1,806322,0,Divided Sky
2852,1994,2,342282,0,Suzy Greenberg
2853,1994,2,452336,0,Julius
2857,1994,2,421512,0,Runaway Jim
2862,1994,1,284839,0,Funky Bitch
2863,1994,1,362449,0,Rift
2875,1994,2,298553,0,Sample in a Jar
2876,1994,2,237923,0,Sparkle
2925,1994,1,229355,0,Bouncing Around the Room
2946,1994,1,431177,0,Scent of a Mule
2947,1994,1,220369,0,The Sloth
2954,1994,1,276872,0,Llama
2955,1994,2,348003,0,Suzy Greenberg
2956,1994,2,645329,0,Maze
2965,1994,2,270602,0,Cavern
2970,1994,1,149917,0,Poor Heart
2973,1994,1,439641,0,Rift
5932,1993,E,375458,0,Chalk Dust Torture
5941,1993,1,412996,0,Chalk Dust Torture
3005,1993,3,234971,0,Sparkle
3012,1994,1,583053,0,Maze
3018,1994,1,467096,0,Down with Disease
3022,1994,2,768705,0,Split Open and Melt
30232,2015,1,502805,0,It's Ice
3025,1994,2,248581,0,Sparkle
3027,1994,2,228702,0,Bouncing Around the Room
3036,1996,1,441835,0,Funky Bitch
3043,1996,2,355291,0,Chalk Dust Torture
3044,1996,2,235651,0,Sparkle
3050,1996,2,359393,0,Sample in a Jar
